date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:47	110391/110391	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2005:12:55%20GMT	https://admin.pixelstrap.net/zono/template/knowledgebase.html	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/template/knowledgebase.html	(from )
20:25:48	796/796	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2013:25:48%20GMT	https://admin.pixelstrap.net/robots.txt		(from )
20:25:48	1984/1984	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Aug%202024%2005:28:36%20GMT	https://admin.pixelstrap.net/zono/assets/images/favicon.png	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/images/favicon.png	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:48	37492/37492	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/font-awesome.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/font-awesome.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:48	93279/93279	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/icofont.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/icofont.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:49	22985/22985	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/themify.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/themify.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:49	42653/42653	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/flag-icon.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/flag-icon.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:49	2632/2632	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/feather-icon.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/feather-icon.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:49	4574/4574	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/slick.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/slick.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:50	3044/3044	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/slick-theme.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/slick-theme.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:50	3911/3911	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/scrollbar.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/scrollbar.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:50	25340/25340	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/animate.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/animate.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:50	232914/232914	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Jan%202024%2011:37:39%20GMT	https://admin.pixelstrap.net/zono/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/vendors/bootstrap.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:51	1032715/1032715	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2012:04:01%20GMT	https://admin.pixelstrap.net/zono/assets/css/style.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/style.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:51	657/657	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Sep%202024%2010:20:16%20GMT	https://admin.pixelstrap.net/zono/assets/css/color-1.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/color-1.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:51	71213/71213	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Sep%202024%2010:20:16%20GMT	https://admin.pixelstrap.net/zono/assets/css/responsive.css	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/css/responsive.css	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:52	123076/123076	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2004:40:25%20GMT	https://admin.pixelstrap.net/zono/template/index.html	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/template/index.html	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
20:25:52	2535/2535	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202023%2005:26:24%20GMT	https://admin.pixelstrap.net/zono/assets/images/logo/logo.png	C:/My%20Web%20Sites/Dashboard%20Bootstrap%20HTML%20Template/admin.pixelstrap.net/zono/assets/images/logo/logo.png	(from https://admin.pixelstrap.net/zono/template/knowledgebase.html)
